symbol	default_version
getpagesize	LIBC
getpeername	LIBC
getpgid	LIBC
getpgrp	LIBC
getpid	LIBC
getppid	LIBC
getpriority	LIBC
getprogname	LIBC
getprotobyname	LIBC
getprotobynumber	LIBC
getprotoent	LIBC_P
getpt	LIBC
getpwent	LIBC_O
getpwnam	LIBC
getpwnam_r	LIBC
getpwuid	LIBC
getpwuid_r	LIBC
getrandom	LIBC_P
getresgid	LIBC
getresuid	LIBC
getrlimit	LIBC
getrlimit64	LIBC
getrusage	LIBC
gets	LIBC
getservbyname	LIBC
getservbyport	LIBC
getservent	LIBC
getsid	LIBC
getsockname	LIBC
getsockopt	LIBC
getsubopt	LIBC_O
gettid	LIBC
gettimeofday	LIBC
getuid	LIBC
getutent	LIBC
getwc	LIBC
getwchar	LIBC
getxattr	LIBC
glob	LIBC_P
globfree	LIBC_P
gmtime	LIBC
gmtime_r	LIBC
grantpt	LIBC
hasmntopt	LIBC_O
hcreate	LIBC_P
hcreate_r	LIBC_P
hdestroy	LIBC_P
hdestroy_r	LIBC_P
herror	LIBC
hsearch	LIBC_P
hsearch_r	LIBC_P
hstrerror	LIBC
htonl	LIBC
htons	LIBC
iconv	LIBC_P
iconv_close	LIBC_P
iconv_open	LIBC_P
if_freenameindex	LIBC_N
if_indextoname	LIBC
if_nameindex	LIBC_N
if_nametoindex	LIBC
imaxabs	LIBC
imaxdiv	LIBC
in6addr_any	LIBC_N
in6addr_loopback	LIBC_N
inet_addr	LIBC
inet_aton	LIBC
inet_lnaof	LIBC
inet_makeaddr	LIBC
inet_netof	LIBC
inet_network	LIBC
inet_nsap_addr	LIBC
inet_nsap_ntoa	LIBC
inet_ntoa	LIBC
inet_ntop	LIBC
inet_pton	LIBC
init_module	LIBC
initgroups	LIBC
initstate	LIBC
inotify_add_watch	LIBC
inotify_init	LIBC
inotify_init1	LIBC
inotify_rm_watch	LIBC
insque	LIBC
ioctl	LIBC
isalnum	LIBC
isalnum_l	LIBC
isalpha	LIBC
isalpha_l	LIBC
isascii	LIBC
isatty	LIBC
isblank	LIBC
isblank_l	LIBC
iscntrl	LIBC
iscntrl_l	LIBC
isdigit	LIBC
isdigit_l	LIBC
isfinite	LIBC
isfinitef	LIBC
isfinitel	LIBC
isgraph	LIBC
isgraph_l	LIBC
isinf	LIBC
isinff	LIBC
isinfl	LIBC
islower	LIBC
islower_l	LIBC
isnan	LIBC
isnanf	LIBC
isnanl	LIBC
isnormal	LIBC
isnormalf	LIBC
isnormall	LIBC
isprint	LIBC
isprint_l	LIBC
ispunct	LIBC
ispunct_l	LIBC
isspace	LIBC
isspace_l	LIBC
isupper	LIBC
isupper_l	LIBC
iswalnum	LIBC
iswalnum_l	LIBC
iswalpha	LIBC
iswalpha_l	LIBC
iswblank	LIBC
iswblank_l	LIBC
iswcntrl	LIBC
iswcntrl_l	LIBC
iswctype	LIBC
iswctype_l	LIBC
iswdigit	LIBC
iswdigit_l	LIBC
iswgraph	LIBC
iswgraph_l	LIBC
iswlower	LIBC
iswlower_l	LIBC
iswprint	LIBC
iswprint_l	LIBC
iswpunct	LIBC
iswpunct_l	LIBC
iswspace	LIBC
iswspace_l	LIBC
iswupper	LIBC
iswupper_l	LIBC
iswxdigit	LIBC
iswxdigit_l	LIBC
isxdigit	LIBC
isxdigit_l	LIBC
jrand48	LIBC
kill	LIBC
killpg	LIBC
klogctl	LIBC
labs	LIBC
lchmod	LIBC_36
lchown	LIBC
lcong48	LIBC
ldexp	LIBC
ldiv	LIBC
lfind	LIBC
lgetxattr	LIBC
link	LIBC
linkat	LIBC
listen	LIBC
listxattr	LIBC
llabs	LIBC
lldiv	LIBC
llistxattr	LIBC
localeconv	LIBC
localtime	LIBC
localtime_r	LIBC
localtime_rz	LIBC_V
lockf	LIBC_N
lockf64	LIBC_N
login_tty	LIBC
longjmp	LIBC
lrand48	LIBC
lremovexattr	LIBC
lsearch	LIBC
lseek	LIBC
lseek64	LIBC
lsetxattr	LIBC
lstat	LIBC
lstat64	LIBC
lutimes	LIBC_O
madvise	LIBC
mallinfo	LIBC
malloc	LIBC
malloc_backtrace	LIBC_Q
malloc_disable	LIBC_Q
malloc_enable	LIBC_Q
malloc_info	LIBC
malloc_iterate	LIBC_Q
malloc_usable_size	LIBC
mallopt	LIBC_O
mblen	LIBC_O
mbrlen	LIBC
mbrtoc16	LIBC
mbrtoc32	LIBC
mbrtowc	LIBC
mbsinit	LIBC
mbsnrtowcs	LIBC
mbsrtowcs	LIBC
mbsrtowcs_l	LIBC_V
mbstowcs	LIBC
mbtowc	LIBC
memalign	LIBC
memccpy	LIBC
memchr	LIBC
memcmp	LIBC
memcpy	LIBC
memfd_create	LIBC_R
memmem	LIBC
memmove	LIBC
mempcpy	LIBC
memrchr	LIBC
memset	LIBC
memset_explicit	LIBC_U
mincore	LIBC
mkdir	LIBC
mkdirat	LIBC
mkdtemp	LIBC
mkfifo	LIBC
mkfifoat	LIBC
mknod	LIBC
mknodat	LIBC
mkostemp	LIBC
mkostemp64	LIBC
mkostemps	LIBC
mkostemps64	LIBC
mkstemp	LIBC
mkstemp64	LIBC
mkstemps	LIBC
mkstemps64	LIBC
mktemp	LIBC
mktime	LIBC
mktime_z	LIBC_V
mlock	LIBC
mlock2	LIBC_R
mlockall	LIBC
mmap	LIBC
mmap64	LIBC
mount	LIBC
mprotect	LIBC
mrand48	LIBC
mremap	LIBC
mseal	LIBC_36
msgctl	LIBC_O
msgget	LIBC_O
msgrcv	LIBC_O
msgsnd	LIBC_O
msync	LIBC
mtx_destroy	LIBC_R
mtx_init	LIBC_R
mtx_lock	LIBC_R
mtx_timedlock	LIBC_R
mtx_trylock	LIBC_R
mtx_unlock	LIBC_R
munlock	LIBC
munlockall	LIBC
munmap	LIBC
nanosleep	LIBC
newlocale	LIBC
nftw	LIBC
nftw64	LIBC
nice	LIBC
nl_langinfo	LIBC_O
nl_langinfo_l	LIBC_O
nrand48	LIBC
ns_format_ttl	LIBC
ns_get16	LIBC
ns_get32	LIBC
ns_initparse	LIBC
ns_makecanon	LIBC
ns_msg_getflag	LIBC
ns_name_compress	LIBC
ns_name_ntol	LIBC
ns_name_ntop	LIBC
ns_name_pack	LIBC
ns_name_pton	LIBC
ns_name_rollback	LIBC
ns_name_skip	LIBC
ns_name_uncompress	LIBC
ns_name_unpack	LIBC
ns_parserr	LIBC
ns_put16	LIBC
ns_put32	LIBC
ns_samename	LIBC
ns_skiprr	LIBC
ns_sprintrr	LIBC
ns_sprintrrf	LIBC
nsdispatch	LIBC
ntohl	LIBC
ntohs	LIBC
open	LIBC
open64	LIBC
open_memstream	LIBC
open_wmemstream	LIBC
openat	LIBC
openat64	LIBC
opendir	LIBC
openlog	LIBC
openpty	LIBC
optarg	LIBC
opterr	LIBC
optind	LIBC
optopt	LIBC
optreset	LIBC
pathconf	LIBC
pause	LIBC
pclose	LIBC
perror	LIBC
personality	LIBC
pidfd_getfd	LIBC_S
pidfd_open	LIBC_S
pidfd_send_signal	LIBC_S
pipe	LIBC
pipe2	LIBC
poll	LIBC
popen	LIBC
posix_fadvise	LIBC
posix_fadvise64	LIBC
posix_fallocate	LIBC
posix_fallocate64	LIBC
posix_madvise	LIBC
posix_memalign	LIBC
posix_openpt	LIBC
posix_spawn	LIBC_P
